iter	Logloss
0	0.6909948259
1	0.6885770822
2	0.6868322268
3	0.6846853996
4	0.6825051614
5	0.6805772932
6	0.6790442439
7	0.6765477182
8	0.674536073
9	0.6725167603
10	0.6706092332
11	0.6687791898
12	0.6670306178
13	0.6654089563
14	0.6636792302
15	0.6620520917
16	0.6605219088
17	0.6585001213
18	0.6568175969
19	0.6548395774
20	0.6533063518
21	0.6511946274
22	0.6492556991
23	0.6470839708
24	0.6451977134
25	0.643305209
26	0.6414368037
27	0.6401235193
28	0.638475109
29	0.6370854957
30	0.6355603193
31	0.6337515545
32	0.6322473015
33	0.6303763216
34	0.6287856851
35	0.6272834916
36	0.6258409759
37	0.6245126281
38	0.6232574934
39	0.6220236579
40	0.620309848
41	0.6189855454
42	0.6176421698
43	0.6161183166
44	0.6143653264
45	0.6129580748
46	0.6116188626
47	0.6101586385
48	0.6088560379
49	0.6074993412
50	0.606035073
51	0.6047494186
52	0.602661885
53	0.6013045004
54	0.6001074113
55	0.598659791
56	0.5973469276
57	0.5959642809
58	0.5945450353
59	0.5935524341
60	0.591976436
61	0.590501769
62	0.5890485895
63	0.5876894799
64	0.5864227585
65	0.5851922185
66	0.5843605478
67	0.5830308216
68	0.5820341067
69	0.5807318017
70	0.5791953742
71	0.5778621472
72	0.5768796568
73	0.5754316472
74	0.5742870275
75	0.5730236866
76	0.572103297
77	0.5710262086
78	0.5697860749
79	0.5685631522
80	0.5679555507
81	0.5671010189
82	0.5660463529
83	0.5646893981
84	0.5636213924
85	0.5624254038
86	0.5614297781
87	0.5604662125
88	0.5593978121
89	0.558337166
90	0.5574456662
91	0.5562782424
92	0.5553292355
93	0.5544672574
94	0.5533167666
95	0.5523256389
96	0.5515818684
97	0.5506616554
98	0.5495751483
99	0.5486620425
100	0.5476082392
101	0.5465891706
102	0.5457018175
103	0.5450087897
104	0.5437510875
105	0.5429953756
106	0.5419281353
107	0.5407057653
108	0.5400164102
109	0.5392061549
110	0.5383980488
111	0.5375937437
112	0.536398907
113	0.5355238236
114	0.534363711
115	0.5336042953
116	0.5325072017
117	0.5318393311
118	0.5311646162
119	0.5306803111
120	0.5296748212
121	0.5287846429
122	0.5279500151
123	0.5271956807
124	0.5264950289
125	0.5254439558
126	0.524686174
127	0.5238133951
128	0.5229416373
129	0.5218971754
130	0.5211695461
131	0.5203604556
132	0.5197437793
133	0.5190888355
134	0.5180786566
135	0.5169888467
136	0.5162215646
137	0.5154385119
138	0.5149238318
139	0.5142482881
140	0.5135002618
141	0.5130937684
142	0.5124385343
143	0.5119532709
144	0.5112335565
145	0.5106133451
146	0.5098016539
147	0.5090768514
148	0.5085695511
149	0.5078746842
150	0.5071969278
151	0.5060946054
152	0.5056576897
153	0.5049185488
154	0.5042835574
155	0.5039088005
156	0.5033075493
157	0.5026274957
158	0.501747145
159	0.5009873181
160	0.4998069186
161	0.4991036055
162	0.4985618483
163	0.4979218912
164	0.4969622039
165	0.4964720239
166	0.4956160795
167	0.4947653347
168	0.494367101
169	0.4938395223
170	0.4929384079
171	0.4924242645
172	0.491919493
173	0.4912203242
174	0.4907951138
175	0.4903500474
176	0.4894955888
177	0.4889717581
178	0.4883728894
179	0.487743344
180	0.4871571304
181	0.4867045703
182	0.4860738932
183	0.4853585057
184	0.4848453046
185	0.4843660741
186	0.4836991312
187	0.4829313122
188	0.4822885135
189	0.4817111937
190	0.4815500461
191	0.4806425052
192	0.4799488429
193	0.4796788208
194	0.47910781
195	0.478710506
196	0.477906283
197	0.4773702188
198	0.476484155
199	0.4756944733
200	0.4749350553
201	0.4741944924
202	0.4735579194
203	0.4730198321
204	0.4723259593
205	0.4718637489
206	0.4714185747
207	0.4711135786
208	0.4702719108
209	0.469631604
210	0.4688250414
211	0.4682195449
212	0.4675818493
213	0.4672189917
214	0.4668773647
215	0.4660268492
216	0.4655093308
217	0.4644588717
218	0.4638468706
219	0.4636048432
220	0.463056355
221	0.4627105129
222	0.4622276885
223	0.4618864693
224	0.4614765131
225	0.4610020162
226	0.4604186111
227	0.4598996519
228	0.4596612653
229	0.459253464
230	0.4589825064
231	0.4584199635
232	0.4576887046
233	0.4572763808
234	0.456794907
235	0.4562987945
236	0.4557801496
237	0.4550762205
238	0.454657728
239	0.4541802583
240	0.4538476074
241	0.4532690835
242	0.4528787843
243	0.4523066054
244	0.4518204813
245	0.4513677051
246	0.4508092723
247	0.4501924532
248	0.4497729346
249	0.4494359659
250	0.4489844091
251	0.4482212842
252	0.4476618647
253	0.447376428
254	0.4467141098
255	0.4463210072
256	0.4458392522
257	0.4455129975
258	0.4450738778
259	0.4447736945
260	0.444302912
261	0.4440636743
262	0.4436042366
263	0.442983179
264	0.4423910522
265	0.4418456937
266	0.4411377644
267	0.4403606699
268	0.4401027324
269	0.4396027538
270	0.4390415854
271	0.4384702997
272	0.4380953974
273	0.4377036853
274	0.4373855728
275	0.4371107212
276	0.4368841317
277	0.4365578633
278	0.4361602952
279	0.4358140709
280	0.4354566627
281	0.4350365218
282	0.4346645038
283	0.4342254024
284	0.4338721311
285	0.4335189425
286	0.4329560744
287	0.4326601365
288	0.4323965893
289	0.4320310326
290	0.4316040238
291	0.4311434732
292	0.4310307737
293	0.4307955503
294	0.4301231849
295	0.429617993
296	0.4293951897
297	0.4291286543
298	0.4287379296
299	0.4282303433
300	0.4279051934
301	0.4275174312
302	0.4272909404
303	0.4270839651
304	0.42659887
305	0.4263448846
306	0.4259754465
307	0.4257108943
308	0.4251016384
309	0.4247499978
310	0.4244757976
311	0.4240197109
312	0.42377697
313	0.4234331475
314	0.4231149723
315	0.4225877158
316	0.4222296796
317	0.4218200884
318	0.4214359277
319	0.4210035584
320	0.4204911729
321	0.4199952092
322	0.4193546002
323	0.4189392351
324	0.4184557975
325	0.4181045237
326	0.4177888067
327	0.4174353506
328	0.417087835
329	0.4166852179
330	0.4163128434
331	0.4160669534
332	0.4157176851
333	0.4153528151
334	0.4149930106
335	0.4147746791
336	0.4144520606
337	0.4139420313
338	0.4136419336
339	0.4130936992
340	0.4128176926
341	0.4124783574
342	0.4121666747
343	0.4118764657
344	0.4115988837
345	0.4112862006
346	0.4108763699
347	0.4104217627
348	0.4099945976
349	0.4095070219
350	0.409328605
351	0.4090371411
352	0.4088351972
353	0.408441567
354	0.4081266542
355	0.4078851128
356	0.4075078987
357	0.4071540285
358	0.4066699247
359	0.4064270817
360	0.406102659
361	0.4057517052
362	0.4053214184
363	0.4048770575
364	0.4044516993
365	0.4040374528
366	0.4036153184
367	0.403293009
368	0.4029402761
369	0.4024356033
370	0.4019681461
371	0.4014324452
372	0.40090964
373	0.4005567223
374	0.4004151924
375	0.3999474003
376	0.3997139754
377	0.3994641863
378	0.3993178366
379	0.3990682021
380	0.3988792155
381	0.3985857559
382	0.398200302
383	0.3976152188
384	0.3972931245
385	0.397051258
386	0.3968062954
387	0.3966390767
388	0.3963922861
389	0.3959052682
390	0.395592276
391	0.3952137004
392	0.394935224
393	0.3946307122
394	0.3941077268
395	0.3937940535
396	0.3936396638
397	0.393454712
398	0.392948733
399	0.3925205321
400	0.3919525221
401	0.3917431147
402	0.3915092917
403	0.3913482291
404	0.3911568793
405	0.3909129247
406	0.3906850427
407	0.3904814521
408	0.390242219
409	0.3899810554
410	0.3897445806
411	0.3894384335
412	0.3891988468
413	0.3889102884
414	0.3887769081
