rsi_period 	 long_entry 	 long_exit 	 short_entry 	 short_exit 	leverage	size_pct	  TP  	  SL  	  TS  	  TO  
8	99	98	33	37	2	20	50	50	50	20
9	99	98	31	37	2	20	50	50	50	20
